Serial_No,Report_Name,Reporting_Data_attribute,Data_Attributes_contributing_to_reporting_attributes,Row_Code,Column_Code,Measure,Source,Tab,Sub_part,Mart,Mart_Logic,SQL_Query,Frequency
199,Schedule V,Loan Disbursements,2.3-Non-housing Loans to others (excluding 2.1 and 2.2 above),R1317,C207,Gross carrying amount (Note-2),Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"(populate sum(NHL_bifur_of_disb_amt)   where, Product_NHB = 'Other Loan') - (Sr. no 188 + Sr. no 194)","SELECT 
    COALESCE(
        SUM(CASE WHEN Product_NHB = 'OTHER LOAN' THEN NHL_bifur_of_disb_amt ELSE 0 END)
        -
        
        0
        -
        SUM(CASE WHEN Product_NHB = 'OTHER LOAN' 
                 AND Customer_type = 'CORPORATE' 
                 THEN NHL_bifur_of_disb_amt ELSE 0 END)
    , 0) AS Non_Housing_Loans_to_Others_Amount
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Report_Date IN ({{report_dates}});

",monthly
261,Schedule V,Loan Disbursements,1.3-Housing Loans to others (excluding 1.1 and 1.2 above),R1304,C210,No. of accounts,Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"(populate countof distinct(Loan_no_new) where, Product_NHB <> 'Other Loan') - (Sr. No 252 + Sr.No 258)
","SELECT 
    COALESCE(
        (
         
            SELECT COUNT(DISTINCT LOAN_NUMBER_NEW)
            FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
            WHERE Product_NHB <> 'OTHER LOAN'
            AND Report_Date IN ({{report_dates}})
        )
        -
        (
           
            SELECT COUNT(Loan_number_new)
            FROM DISHA_MART_ANALYTICS.REGULATORY_MART.SANCTION_PERIOD_MART_V1
            WHERE Customer_type = 'INDIVIDUAL'
            AND (
                (CRE_RH_Tagging IS NULL AND PRODUCT_NHB IN ('Purchase', 'Construction'))
                OR (PRODUCT_NHB = 'Resale Property Purchase')
                OR (PRODUCT_NHB = 'Repair and Renovation Loan')
            )
            AND Report_Date IN ({{report_dates}})
        )
        -
        (
        
            SELECT COUNT(DISTINCT LOAN_NUMBER_NEW)
            FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
            WHERE Product_NHB <> 'OTHER LOAN'
            AND CRE_RH_Tagging IS NOT NULL
            AND Report_Date IN ({{report_dates}})
        )
    , 0) AS Housing_Loans_to_Others_Count;",monthly
274,Schedule V,Loan Disbursements,2.3-Non-housing Loans to others (excluding 2.1 and 2.2 above),R1317,C210,No. of accounts,Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"(populate count of distinct(Loan_no_new) where, Product_NHB = 'Other Loan') - (Sr. no 263 + Sr. no 269)","


SELECT 
    COALESCE(
       
        COUNT(DISTINCT CASE WHEN Product_NHB = 'OTHER LOAN'  THEN Loan_number_new END)
        -
       
        0
        -
       
        COUNT(DISTINCT CASE WHEN Product_NHB = 'OTHER LOAN' 
                            AND Customer_type = 'CORPORATE' 
                            THEN LOAN_NUMBER_NEW END)
    , 0) AS Non_Housing_Loans_to_Others_Count
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Report_Date IN ({{report_dates}});",monthly
286,Schedule V,Loan Disbursements,1.3-Housing Loans to others (excluding 1.1 and 1.2 above),R1304,C211,Gross carrying amount (Note-2),Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"(populate sum(HL_Bifur_of_disb_amt) where, Product_NHB <> 'Other Loan') - (Sr. No 277 + Sr.No 283)","SELECT 
    COALESCE(
        SUM(CASE WHEN Product_NHB <> 'OTHER LOAN'  THEN HL_bifur_of_disb_amt ELSE 0 END)
        -
        SUM(CASE WHEN Customer_type = 'INDIVIDUAL' 
                  AND CRE_RH_Tagging IS NULL 
                  AND Product_NHB IN ('Purchase', 'Construction') 
                  THEN HL_bifur_of_disb_amt ELSE 0 END) 
        -
        SUM(CASE WHEN Customer_type = 'INDIVIDUAL' 
                  AND Product_NHB = 'Resale Property Purchase' 
                  THEN HL_bifur_of_disb_amt ELSE 0 END) 
        -
        SUM(CASE WHEN Customer_type = 'INDIVIDUAL' 
                  AND Product_NHB = 'Repair and Renovation Loan' 
                  THEN HL_bifur_of_disb_amt ELSE 0 END)
        -
        SUM(CASE WHEN Product_NHB <> 'OTHER LOAN' 
                  AND CRE_RH_Tagging IS NOT NULL 
                  THEN HL_bifur_of_disb_amt ELSE 0 END) 
    , 0) AS Housing_Loans_to_Others
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Report_Date IN ({{report_dates}});",monthly
299,Schedule V,Loan Disbursements,2.3-Non-housing Loans to others (excluding 2.1 and 2.2 above),R1317,C211,Gross carrying amount (Note-2),Mart,part-1,Part-1B,DISBURSEMENT_PERIOD_MART,"(populate sum(NHL_bifur_of_disb_amt)   where, Product_NHB = 'Other Loan') - (Sr. no 288 + Sr. no 294)","SELECT 
    SUM(CASE 
        WHEN Product_NHB = 'OTHER LOAN' 
             AND Customer_type NOT IN ('INDIVIDUAL', 'CORPORATE') 
        THEN NHL_BIFUR_OF_DISB_AMT 
        ELSE 0 
    END) AS Non_Housing_Loans_Others
FROM DISHA_MART_ANALYTICS.REGULATORY_MART.DISBURSEMENT_PERIOD_MART
WHERE Product_NHB = 'OTHER LOAN'
AND Report_Date IN ({{report_dates}});",monthly
311,Schedule V,Loan Outstandings,1.3-Housing Loans to others (excluding 1.1 and 1.2 above),R1329,C212,No. of accounts,Mart,part-1,Part-1C,Outstanding_mart,"(populate count(Loan_no_new) where, nhb_Product <> 'Other Loan') - (Sr. No 302 + Sr.No 308)
","SELECT 
    (
     
        SELECT COUNT(LOAN_NUMBER_NEW) 
        FROM DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
        WHERE PRODUCT <> 'OTHER LOAN'
        AND Report_Date IN ({{report_dates}})
    ) 
    - 
    (
    
        SELECT COUNT(LOAN_NUMBER_NEW) 
        FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
        WHERE Customer_type = 'INDIVIDUAL'
        AND (
            (CRE_RH_Tagging IS NULL AND PRODUCT IN ('Purchase', 'Construction'))
            OR PRODUCT = 'Resale Property Purchase'                           
            OR PRODUCT = 'Repair and Renovation Loan'                         
        )
        AND Report_Date IN ({{report_dates}})
    ) 
    - 
    (
    
        SELECT COUNT(LOAN_NUMBER_NEW) 
        FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
        WHERE PRODUCT <> 'OTHER LOAN'
        AND CRE_RH_Tagging IS NOT NULL
        AND Report_Date IN ({{report_dates}})
    ) AS Housing_Loans_to_Others_Count;

",monthly
324,Schedule V,Loan Outstandings,2.3-Non-housing Loans to others (excluding 2.1 and 2.2 above),R1342,C212,No. of accounts,Mart,part-1,Part-1C,Outstanding_mart,"(populate count(Loan_no_new) where, nhb_Product = 'Other Loan') - (Sr. no 313 + Sr. no 319)","SELECT 
    COUNT(LOAN_NUMBER_NEW) - 
    SUM(CASE WHEN CUSTOMER_TYPE = 'CORPORATE' THEN 1 ELSE 0 END) -
    SUM(CASE WHEN CUSTOMER_TYPE != 'CORPORATE' THEN 1 ELSE 0 END) AS COUNT
FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART 
WHERE PRODUCT = 'OTHER LOAN' 
AND Report_Date IN ({{report_dates}});",monthly
336,Schedule V,Loan Outstandings,1.3-Housing Loans to others (excluding 1.1 and 1.2 above),R1329,C213,Gross carrying amount (Note-2),Mart,part-1,Part-1C,Outstanding_mart,"(populate sum(HL_POS) where, nhb_Product <> 'Other Loan') - (Sr. No 327 + Sr.No 333)","

SELECT 
    (
       
        SELECT COALESCE(SUM(HL_bifurcation_of__EAD), 0)
        FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
        WHERE Product <> 'OTHER LOAN'
        AND Report_Date IN ({{report_dates}})
    ) 
    - 
    (
      
        SELECT COALESCE(SUM(HL_bifurcation_of__EAD), 0)
        FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
        WHERE Customer_type = 'INDIVIDUAL'
        AND (
            (CRE_RH_Tagging IS NULL AND Product IN ('Purchase', 'Construction')) OR  
            (Product = 'Resale Property Purchase') OR                            
            (Product = 'Repair and Renovation Loan')                              
        )
        AND Report_Date IN ({{report_dates}})
    )
    - 
    (
     
        SELECT COALESCE(SUM(HL_bifurcation_of__EAD), 0)
        FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
        WHERE Product <> 'OTHER LOAN'
        AND CRE_RH_Tagging IS NOT NULL
        AND Report_Date IN ({{report_dates}})
    ) AS Housing_Loans_to_Others;",monthly
349,Schedule V,Loan Outstandings,2.3-Non-housing Loans to others (excluding 2.1 and 2.2 above),R1342,C213,Gross carrying amount (Note-2),Mart,part-1,Part-1C,Outstanding_mart,"(populate sum(NHL_POS)   where, nhb_Product = 'Other Loan') - (Sr. no 338 + Sr. no 344)","WITH base_nhl AS (
    SELECT SUM(NHL_POS) AS total_nhl_pos
    FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
    WHERE nhb_Product = 'OTHER LOAN'
    AND Report_Date IN ({{report_dates}})  
),

individuals_total AS (
   
    SELECT 0 AS individuals_amount 
),

builders_corporates AS (
   
    SELECT COALESCE(SUM(NHL_bifurcation_of__EAD), 0) AS builders_corporates_amount
    FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
    WHERE nhb_Product = 'OTHER LOAN'
    AND Customer_type = 'CORPORATE'
    AND Report_Date IN ({{report_dates}})
)

SELECT 
    base_nhl.total_nhl_pos - 
    individuals_total.individuals_amount - 
    builders_corporates.builders_corporates_amount AS gross_carrying_amount
FROM base_nhl
CROSS JOIN individuals_total
CROSS JOIN builders_corporates;",monthly
361,Schedule V,Loan Outstandings,1.3-Housing Loans to others (excluding 1.1 and 1.2 above),R1329,C214,No. of accounts,Mart,part-1,Part-1C,Outstanding_mart,"(populate count(Loan_no_new) where, nhb_Product <> 'Other Loan') - (Sr. No 352 + Sr.No 358)
","SELECT 
    (
       
        SELECT COUNT(LOAN_NUMBER_NEW) 
        FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
        WHERE Product <> 'OTHER LOAN'
        AND Report_Date IN ({{report_dates}})
    ) 
    - 
    (
    
        SELECT COUNT(LOAN_NUMBER_NEW)
        FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
        WHERE Customer_type = 'INDIVIDUAL'
        AND CRE_RH_Tagging = 'No'
        AND Report_Date IN ({{report_dates}})
    )
    -
    (

        SELECT COUNT(LOAN_NUMBER_NEW)
        FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
        WHERE Product <> 'OTHER LOAN'
        AND CRE_RH_Tagging IS NULL
        AND Report_Date IN ({{report_dates}})
    ) AS Housing_Loans_to_Others_Count;

",monthly
374,Schedule V,Loan Outstandings,2.3-Non-housing Loans to others (excluding 2.1 and 2.2 above),R1342,C214,No. of accounts,Mart,part-1,Part-1C,Outstanding_mart,"(populate count(Loan_no_new) where, nhb_Product = 'Other Loan') - (Sr. no 363 + Sr. no 369)","WITH total_other_loans AS (
    SELECT COUNT(LOAN_NUMBER_NEW) AS total_count
    FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
    WHERE PRODUCT = 'OTHER LOAN'
    AND Report_Date IN ({{report_dates}})
),
individuals_loans AS (
  
    SELECT COUNT(LOAN_NUMBER_NEW) AS individuals_count
    FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
    WHERE PRODUCT = 'OTHER LOAN'
    AND CUSTOMER_TYPE = 'INDIVIDUAL'
    AND Report_Date IN ({{report_dates}})
),
builders_corporates_loans AS (
  
    SELECT COUNT(LOAN_NUMBER_NEW) AS builders_corporates_count
    FROM  DISHA_MART_ANALYTICS.REGULATORY_MART.OUTSTANDING_MART
    WHERE PRODUCT = 'OTHER LOAN'
    AND CUSTOMER_TYPE = 'CORPORATE'
    AND Report_Date IN ({{report_dates}})
)
SELECT 
    (t.total_count - i.individuals_count - b.builders_corporates_count) AS non_housing_loans_others_count
FROM total_other_loans t
CROSS JOIN individuals_loans i
CROSS JOIN builders_corporates_loans b;
",monthly
378,Schedule V,Loan Outstandings,(i) for construction/purchase of new units,R1321,C215,Gross carrying amount (Note-2),Mart,part-1,Part-1C,Outstanding_mart,"sum(On_book_POS ) of Current month - 
sum(On_book_POS ) of last month  + Sum(disbursal_amount) from Disbursement_Details where disbursal_date BETWEEN [START_MONTH_DATE of Report_date] and [END_MONTH_DATE of Report_date]
group by Loan_no
where,
1- Customer_type = 'INDIVIDUAL'
2- CRE_RH_Tagging is null
3- nhb_Product = ('Purchase', 'Construction')",,monthly
381,Schedule V,Loan Outstandings,(ii) for purchasing old units (Resale),R1324,C215,Gross carrying amount (Note-2),Mart,part-1,Part-1C,Outstanding_mart,"sum(Principal_Outstanding ) of Current month - 
sum(Principal_Outstanding ) of last month  + Loan_Amount_Disbursed_during_the_Month_(Rs.)
where,
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Resale Property Purchase'",,monthly
382,Schedule V,Loan Outstandings,(iii) for repair & renovation of existing units,R1325,C215,Gross carrying amount (Note-2),Mart,part-1,Part-1C,Outstanding_mart,"sum(Principal_Outstanding ) of Current month - 
sum(Principal_Outstanding ) of last month  + Loan_Amount_Disbursed_during_the_Month_(Rs.)where,
1- Customer_type = 'INDIVIDUAL'
2- nhb_Product = 'Repair and Renovation Loan'",,monthly
